signature,num_vertices,diameter (qtm),example antipodes (qtm),radius (qtm),example center (qtm),diameter (htm),example antipodes (htm),radius (htm),example center (htm)
0x10B4018C03C461,100,26,0xf5800c1bc060 => 0xf4800c738061,13,0xc530441bc221,17,0xf4800c738061 => 0xf5800c1bc060,9,0x7024c30d3418
0x10803046200C2D,100,19,0xd0007ae4030 => 0xd800bc8900c,10,0x200187a24c14,15,0xd800bc89044 => 0xd800bc8900c,8,0x2000f6203611
0x1087FE8420043D,50,13,0x71fe0390045e => 0x451b6609247a1,7,0x263fe130008da,11,0x453b6228245b1 => 0x71fe0390045e,6,0xf7c807a0083d
0x1087FE8420062D,50,12,0x36b9013037898 => 0x451b66092462d,6,0x263fe1300085e,9,0xf78007a245b1 => 0x451b66092462d,5,0x2636e130488da
0x168400B43FF5A1,50,13,0xc40168dffb46 => 0x3696e1b5480da,7,0x700087bff43d,11,0x3696e1b5480da => 0xf400f45f97a2,6,0xf400b43ff5a1
0x1085B084200C63,99,19,0x5980827f041 => 0x307f81800294,10,0xc90607f0301,11,0x31b603880294 => 0x307f81800294,6,0x9e601f6300
0x10458085A005BD,99,24,0x88be44526282 => 0x189e20c99306,12,0x50920bc00b5e,19,0x88b044727283 => 0x189e20c99306,10,0x2089e185360c2
0x1008018C6005A1,49,16,0x520107d8082 => 0x47600338402,8,0x67600238801,12,0x520407b0282 => 0x470801f8402,6,0x700027f801
0x1184000C038C63,32,12,0x7800ffc0001 => 0xc01fc600c14,6,0x332c0119600c,7,0xd000ffc0003 => 0xc00f7a00c14,4,0x21a6011d7008
0x108C00847D8423,98,14,0x8b8e04598023 => 0x798082f7041,8,0xc580042db231,8,0x32da209f0104 => 0x8b3e045c1022,5,0x30fe0196400c
0x18400B5A00463,49,11,0x20f40117b008 => 0xc3340409a230,6,0x440318b618c,7,0x7800c7b8060 => 0xc3340409a230,4,0x4007389238c
0x800004018C23,54,13,0x8845a44000 => 0xc0005a20c00,10,0x21b401210,9,0x768001210 => 0x1968004084,6,0x88010d6008
0x10802005AD,53,12,0x62f103 => 0x12200b5a,7,0x14400005ad,9,0x12200fe0 => 0x402800fe0,5,0x14400005ad
0x50018C1C7C60,53,15,0x1a2c10c96282 => 0xf8e0c60011c,8,0x186c005f6006,10,0xf8e0c600388 => 0x1a2c10c96282,5,0x186c005f6006
0x10843184618421,30,14,0xc1b40409b220 => 0x448319b210c,7,0x22f60103a408,10,0x50211ff108 => 0x448319b210c,5,0x22f60103a408
0x1000018C3C4C61,98,17,0x5a642213411 => 0x20c8211205ad,9,0x5be0021b011,12,0x20c8211205ad => 0x5a642213411,6,0x43e8021b411
0x8070842005AD,53,12,0x2051811d2c08 => 0x2024c1800b5a,7,0x200187bc0c20,9,0x2025811e8c08 => 0x2024c1800fe0,5,0x2000c7b24230
0x70138180023D,98,23,0x44e8422482d => 0xd800388905e,12,0x74e0422402d,16,0xd800388905e => 0x1a3e00c80063,8,0x1b3e00c00318
0x108400B46D87A3,98,20,0xb4f605b0418c => 0x5c805a9f22d,12,0x44805bff02d,13,0x518045adb03d => 0xb63e85a0430c,7,0x518007adb03d
0x183FE0C0005AD,27,15,0x182fe0c08007f => 0x7025839d2c1c,8,0x187780c24007f,10,0x182fe0c08007f => 0x7025839d2c1c,5,0xc1fe0613c031
0x21088200041802,16,8,0xe8000007c00 => 0xe8000005c08,4,0x69800004c01,6,0x68800204c01 => 0x68800804c01,3,0x69800004c01
0x84018C23,48,11,0x5a00394 => 0x1820094184,7,0xc0004098230,8,0x1820094184 => 0x368001310,5,0x20b401c08
0x2118018C600C5E,24,8,0x7f00023fc01 => 0x51a4409b6284,4,0x7fe0023c401,6,0x7f00023fc01 => 0x51a4409b6284,3,0x7fe0023c401
0x8001FC6005A3,48,11,0x2136411b3208 => 0x2126511b3208,6,0x20018fe00c2d,7,0x2126511b3208 => 0x2126411bb208,4,0x2000f7a007b0
0x1184018C3C3C61,24,8,0x1840f8c3c0c61 => 0x5136429b6290,4,0x476803ff401,6,0x1840f8c3c0c61 => 0x5124509fb284,3,0x476803ff401
0x1000008C6C0461,96,11,0x4078c200198 => 0x398021b011,7,0x40073048388,9,0x43f80218002 => 0x1861129308,5,0x530021bc010
0x80008C6F8463,48,14,0x203cc113e208 => 0x2026530db088,8,0x2012230bf118,8,0x20810c7f8860 => 0x883d84438023,5,0x21b40307e018
0xF4600400,48,12,0x4b6002400 => 0x2f6002000,6,0x4f4003000,9,0x1bc80002 => 0x1bc80010,5,0xc7a00010
0x108586802C3421,17,6,0x8c0f807c0c40 => 0x8c0f807c0c20,3,0x2001807c7c23,5,0xc0f807e8c00 => 0xc1f807e0c00,3,0x20005296d29c
0x18401FC200460,48,14,0x21b44301a408 => 0x20f50103a408,7,0x200073892198,10,0x21b44301a408 => 0x20f50103a408,5,0x200073892198
0x10138180003D,48,16,0x2c60c042d => 0x4a640320308,8,0x406462007a0,14,0x2c60c042d => 0x441041a082d,7,0x4064620042d
0x100180C7A00403,48,11,0x41f6820c200 => 0x406f6200884,6,0x40187a24c10,8,0x4196820f001 => 0xd0007aa4011,4,0x58007ae4010
0x320084200C63,48,22,0x608109b6080 => 0x22d220049102,11,0x648101b6080,13,0x648009b6080 => 0x22d220049102,7,0x20da01049808
0x6020084200C63,96,45,0xc3100620883 => 0x209220169102,23,0xc7180200603,25,0xc3100620883 => 0x209220169102,13,0xc7180200603
0x6009118400C63,48,22,0xc71802005a3 => 0xc30806205a3,11,0x7e800075a0,13,0x7f800055a0 => 0xc30806205a3,7,0xc70806005a3
0x10119280800C2D,17,9,0x406403207a3 => 0x189e00c40b40,5,0x4860226403d,6,0x40e1024cbc0 => 0xb600821e4410,3,0xc00820e443d
0x10858086200C63,96,45,0x7012c1800c63 => 0x219241049b42,23,0x33480192402d,25,0x33481112402d => 0x7012c1800c63,13,0x7fe00324100
0x10B4008C7F8461,96,26,0x893c445f9222 => 0xc0ff0619a830,13,0xc57e06398031,15,0x3065111ff888 => 0x186708c6c043d,8,0xc530443bf221
0x21189308C00C46,25,10,0xff0002047a1 => 0xc78008c09c1c,5,0x53a40284085e,7,0x7f800007bc0 => 0x53a400824c2d,4,0x739208d0041c
0x1005808FEC043D,48,22,0xc0f9061bc831 => 0xc0fb061bc830,11,0x4018ffc0c3d,13,0xb4017bc49886 => 0x180f20c406fe2,7,0x4018ffc0c3d
0x1184008C6F8461,95,18,0x88f1047b8821 => 0x21be411ba208,9,0x3164018ff00c,11,0x3164111fe088 => 0x88f1047b8821,6,0x897e044f8022
0x21131308C0005A,49,11,0x24828c945e => 0x34c01e062d,6,0x187f00c0005a,8,0x34820e443d => 0x52650248bc0,4,0x187f00c0005a
0x18C600C61,47,9,0x47180038003 => 0x7380038003,5,0x760003b800,7,0x47180038003 => 0x7380038003,4,0x760007b000
0x846D8421,47,8,0x440208b9104 => 0x40f88230040,5,0x4840de420,6,0x181262890100 => 0x440208b9104,4,0x7081b2840
0x50018C000C7F,55,15,0x1800b8c1c0c03 => 0xb8c0007bd,8,0x63e0035b001,10,0xc31801ddc00 => 0xb8c0007bd,5,0x66e00373001
0x2200018C001062,48,10,0x568000b0082 => 0xe400133080,6,0x4006304030c,6,0x46980031400 => 0x43980019010,3,0x4006304030c
0x1084018C638462,47,18,0x326c118b2088 => 0x316c11832888,9,0x71800c6b8062,12,0xc136440da030 => 0x316c11832888,6,0xc1340619b030
0x10058085AC042D,94,18,0x606222b7111 => 0x2f612423d,9,0x400c61fc630,13,0x606222b7111 => 0x401788490de,7,0x400c61fc630
0x10058085A005AD,94,21,0x181e20d99104 => 0x4876820007f,11,0x40007a245bd,17,0x406623f4310 => 0x487682005ad,9,0x40178048bda
0x10B4008C2FB461,47,12,0x883cc45f8622 => 0x2027131fe898,6,0x3037039b681c,10,0xb6008fec045a => 0x883cc45f8621,5,0x3037039b681c
0x21000210000C63,94,44,0x328000344060 => 0x228200441118,22,0x6d00014c100,25,0x328000344060 => 0x228200441118,13,0xda0000d808
0x100002B4000C23,94,27,0x48841057008 => 0xa11017888,14,0x60005b00443,16,0x4c001053218 => 0x6000311209c,8,0xe0405d220
0x10818080800C63,94,44,0xd1040008b43 => 0x321a80904108,22,0x1b001ad808,25,0x321a80904108 => 0xd1040008b43,13,0x6c600368100
0x180000F5B20281,47,15,0x18136bc00091 => 0x18936bc00801,8,0x18016bc09814,11,0x18936bc00801 => 0x18136bc00811,6,0x400f5b24604
0x10858085ADB42D,94,23,0x417683b3bc1 => 0x417683f3b41,12,0xb63607a005ad,19,0xc0eb47f85a0 => 0xc1f687f0b40,10,0x446b42db5b1
0x400B5A0042D,93,13,0xfe007a2 => 0x4016b40022d,7,0x409fc0005a0,9,0xfe0062d => 0x401fc00045a,5,0x4010c1b8862
0xB42005A3,93,12,0x6220b5110 => 0x1b40023d,6,0xc00840f8420,7,0xc00b600005a => 0xc116800002d,4,0x2601b3300
0x100400B5A00C63,57,17,0x28e0c17a060 => 0xe800c638c60,9,0x6000ff40063,10,0xbfc00039c => 0x22bc0105a218,5,0x20ee01176008
0x8000808C042D,93,11,0x4800c845a => 0x1222403d,6,0x5460020002d,9,0x4071020005a => 0x406502480c0,5,0x4470020002d
0x800087AC042D,93,11,0x2024c19e0620 => 0x2024c19207a0,6,0x2000838db40c,9,0x2035031a4830 => 0x20110b58082d,5,0x2000818fb40c
0x108C30C4000403,93,32,0x60818334041 => 0x6c005b40041,16,0x60805b24021,18,0x6c005b40041 => 0x60818334041,9,0x60805b24021
0x168400B42DB5A1,48,10,0x406f43f87a2 => 0x406b62fc5b1,5,0x400f43fb7a1,7,0x3785febc2 => 0x406b62fc5b1,4,0xb401685b6bc2
0x401FC203C61,93,19,0x302d11996808 => 0x8932441b9220,11,0x8ffc0463,11,0x302d11996808 => 0x8d30441bc220,6,0x407fc200c61
0xB6000010002D,7,3,0x406802c0610 => 0x21206d090,2,0x40e802c4400,3,0x282dc14 => 0x406802c0610,2,0x250169280
0x2184018C200460,46,16,0x47180439002 => 0x47100638402,8,0x76000fe000,11,0x47180439002 => 0x47100638402,6,0x76000fe000
0x8000B5A00C2D,46,11,0x5060c238c60 => 0x4070c238c60,6,0xc000c2bb061,7,0x4860c2f8060 => 0x5060c238c60,4,0xc008c43e062
0x204018C600404,26,9,0x64031824400 => 0x47000138402,5,0x720007c001,7,0x47000138402 => 0x64031824400,4,0x720003c801
0x4018C60042D,46,12,0x7380045e => 0x78c006b40,6,0x43642218410,8,0x78c006b40 => 0x7380045e,5,0x43642218410
0x1001808C2C0461,92,11,0x4a642293001 => 0x52642213081,6,0x4003186918c,8,0x52642213081 => 0x52642213401,5,0x4370021b011
0x1004018C600FE1,46,15,0x4f00063f803 => 0x5124108db284,8,0x6f60023b401,11,0xcfe00638802 => 0x5124108db284,6,0x1800b8c1c0c61
0x108476842F8421,49,12,0x88fd045b8822 => 0xf401fc60005e,6,0x3136038f601c,7,0x31be419b2208 => 0xb640b5a245a0,4,0x31a4038bf01c
0x800184638420,46,10,0x20d0200ba100 => 0x2050200fa100,6,0x200053892088,7,0x213443008408 => 0x2034c3008408,4,0x200053892088
0x10800184618821,92,16,0x212453800602 => 0x450204b9102,8,0x78403e820,12,0x212453800406 => 0x458202b8102,6,0x500087b8042
0x1080318421C821,92,20,0x188063892188 => 0x1b000c2f8060,10,0x18000c6f8061,13,0x18806309b108 => 0x1b000c2f8060,7,0x18000c6f8061
0x1005A680200C2D,23,6,0x426802c063d => 0x487063e4810,3,0xc007036b281,5,0x487063e4810 => 0xb600061245b0,3,0xc007036b281
0x1013968090002D,46,11,0x40f1024cbc0 => 0x18c01e462d,6,0xc00c03237a1,10,0x1a1e80d0005a => 0x40e5032422d,5,0xc00503237a1
0x10B4008C0FC461,92,21,0x18936bc005b0 => 0xf4800c33b061,11,0x18010ff8083d,15,0xf4800c33b061 => 0x18936bc005b0,8,0xf600b7a24410
0x8C00B42D85A0,47,12,0x3681bbb40 => 0x17681b1b40,6,0xc0007a9b02d,7,0x17681b1b40 => 0x4b40f85a3,4,0x7681b9b40
0x16800084018C23,91,30,0x48f68244040 => 0x20a641041b40,15,0x49e202d4100,17,0x20a641041b40 => 0xc8168243041,9,0x60603dc30
0x18000042D,45,9,0x10648880 => 0x640b40,5,0x40010800b40,7,0x10648880 => 0x640b40,4,0x203461
0x184218C23,45,13,0xf8401d020 => 0x5220099310,7,0xc0032890184,9,0x5220099310 => 0xf8401d020,5,0xc0032890184
0x10860000800C63,90,41,0x32880030410c => 0x5c800864804,21,0x2da0000d408,23,0x588402c0214 => 0x32880030410c,12,0xcc0007c0011
0x1031A48180007F,90,24,0x406f6324298 => 0x4077824b8c1,12,0xc000f6327211,21,0xc0ef4720620 => 0xb441811d6c08,11,0xc04887be4410
0x1071A48180007F,90,26,0xc032c61247b0 => 0xc2780624007f,13,0xc1f80602443d,25,0xc27c0604007f => 0xc2780624007f,13,0xc4011bdc9884
0x100401FC600462,89,17,0x88f004638821 => 0x3164011b6088,9,0x3164010f600c,11,0x88f004638821 => 0x3164011b6088,6,0x21ee010b2088
0xB7A0042D,89,12,0x8fe00b41 => 0x8fe005a2,7,0x400b5a2002d,7,0x5fc00003d => 0x8fe005a2,5,0x440b5a005a0
0xB4600C23,89,21,0xc1168008103 => 0xc1168008043,11,0x1a080bd040,13,0xc1168008043 => 0xc1168008103,7,0x1b0803d040
0x58C1C7C60,50,11,0xd3e00698202 => 0x187380839006,6,0x4018c607863,8,0x5300069f203 => 0x187380839006,4,0x4018c607863
0x18400B42007AD,89,18,0x20364316c310 => 0x185220cf9104,9,0x401887f8c42,10,0x30b643809844 => 0x212453849286,6,0x401887f8c42
0x118000B4200FE1,89,16,0x50e182b30c1 => 0x312453849884,8,0x4078423f821,10,0x596082b30c1 => 0x313643809814,5,0x500087bf043
0x272000290002D,89,29,0x184d10400c03 => 0x3089003c4808,15,0xc00c080b614,17,0x3089003c4808 => 0x184d10400c03,9,0xc0080c26c06
0x1033FE8180043D,89,14,0xf7000627f831 => 0xc5fe063005b1,7,0xc7fe0620043d,12,0x36b001847f8c2 => 0x30b6c08c49b46,6,0xc7fe0620043d
0x108C00F43F87A1,46,17,0x880f785b0bc3 => 0xc600b63db5a1,9,0x8b800bc7f05e,11,0xc600b63db5a1 => 0x880f785b0bc3,6,0xb4be05ba402d
0x420,11,4,0x1008 => 0xc,2,0x200200,3,0x1008 => 0xc,2,0x2080
0x8000000007BD,13,9,0x5801c0c03 => 0x12849294,5,0x40e00287001,5,0x252125210 => 0x24212d210,3,0x40e00287001
0x1180008C2C3461,22,7,0x477003bc800 => 0x430c22db401,4,0x258283f414,6,0x477003b8802 => 0x430c22db401,3,0x70802ff401
0x2188038C401862,25,9,0x7f000638c01 => 0x51a442892284,5,0x3fe0003b800,7,0x51a442892284 => 0x7f000638c01,4,0x5f0003fc001
0x21000802C3461,25,9,0xd00028ad014 => 0xc0050168388,5,0x44e802e4400,6,0x40282fc14 => 0xd00028ad014,3,0x65016b280
0x11806000C4,24,7,0x78000b040 => 0x452800103,4,0x5300029008,6,0x5400028c08 => 0x452800c08,3,0x52000a9008
0x184618C21,44,7,0x450200b8103 => 0xc50200b9100,5,0x520113b008,6,0x440308b0184 => 0x78401b030,4,0x58401bc20
0x1001908200005A,23,6,0x4c012022d => 0x104265a2,4,0x406502005a0,4,0x122035a1 => 0x48080905e,2,0x416402005a0
0x1021B48300005A,23,6,0x2024830c845a => 0x20350318082d,4,0x2000c5be0608,4,0x880d784480c0 => 0x2000f4526302,2,0x200087ae4418
0x85AC0423,88,13,0x7a24194 => 0x40eb4204040,8,0x368407102,9,0x40eb4204040 => 0x1b448390,6,0x2060bd030
0x108180802005AD,44,11,0x406122a7011 => 0x4471024b081,7,0x5064232c210,8,0x4c29e4610 => 0x406122a7011,4,0x51640323201
0x180718C20042D,88,15,0x20037b448188 => 0x2024c30db408,8,0x20008ffc0460,10,0x20810ff80860 => 0x2024c30db408,6,0x2035031da808
0x2118010C780863,88,15,0xdf00049f202 => 0x70810c7c0862,8,0x7f0002db201,11,0x5fe00298203 => 0x70810c7c0862,6,0x7f0002db201
0x30302C81000043,45,18,0x58805a64004 => 0xd0007a00883,9,0x209208171042,10,0xd0007a00894 => 0x40885a24c04,5,0x209208171042
0x10078087AC0411,87,20,0x88f004004fe1 => 0x21ae011005ad,10,0x180178c49886,13,0x33240104087f => 0x188d6840f802,7,0x18018bdc0c14
0x800080200060,26,6,0x4c0802000 => 0x50680000,4,0x1440082000,6,0x50c80000 => 0x50680000,3,0x4000aa000
0x1004018C6005AD,25,8,0x50378081b014 => 0x73801f8c02,4,0x4018c60087f,6,0x4f60023b801 => 0x50378081b014,3,0x4018c60087f
0xB400808005AD,43,10,0x41286d09c => 0x407823c0c40,5,0x2001803e3c01,7,0x2011805c6c02 => 0x50d69384,4,0x2000806e7403
0x108180842FB421,43,10,0x883cc44c6422 => 0x3036c3924310,5,0x2001843fbc21,7,0x883cc44c6422 => 0x3036c3924310,4,0x2000846ff423
0x470000C1C007F,47,21,0x1b6c00496282 => 0x1810a0c14007f,11,0x709263809806,13,0x1b6c00496282 => 0x1828a0c002fe0,7,0x70018c607283
0x1005808FEC0401,25,13,0xf7b24611 => 0xc0ffc600410,7,0x3025811d6c08,8,0xf7b24611 => 0xc0ffc600410,4,0x400f7b24290
0x108430C60005A3,86,21,0xd800bc8901c => 0x31a4030c022d,12,0x30011bd80886,14,0xd0007ae401c => 0x71a4410c002d,7,0x300187a24c14
0x108070840FC421,85,19,0x1801fc60082d => 0xf401fc600204,10,0x18018fe0003d,12,0x1800f7a000da => 0x3124031b6098,6,0x18017bc00bc0
0x1087F884200461,85,14,0x71245104d388 => 0x1878e04238822,7,0x33fe0180030c,10,0xc500418df20c => 0x334805ac005e,5,0x33fe0180030c
0x1005808C600462,85,13,0x538401b8202 => 0x566002f4001,7,0x340213f410,9,0x46180437402 => 0x43040738602,5,0x560101f9080
0x1FC203421,85,13,0x407fc200022 => 0x8fec0421,7,0x40ffc200020,9,0x37b448180 => 0x8fec0444,6,0x400b7a24018
0x108400B5ADB5AD,46,11,0xbfc1fafe0 => 0x20800fe3f87f,6,0x400b5bfb5ad,10,0xbfc1fafe0 => 0x20800fe3f87f,5,0x4000feff07f
0x2118018C600846,15,7,0x51a440896280 => 0x71000c7c001c,4,0x3fe00038401,6,0x512450097280 => 0x71000c7c001c,3,0x3fe00038401
0x1080018C6005AD,42,12,0x436422db001 => 0x4b64229b001,6,0x4770023f001,7,0x708063f403 => 0x708063f803,4,0x476002bf001
0x30000200000083,11,7,0x8800044201 => 0x8a00005800,4,0x8a00004c00,4,0x48800040210 => 0x8a00005800,2,0x8a00005200
0x30000010048083,11,7,0x880004402d => 0xa800c5400,4,0xa1004d080,4,0x48600240210 => 0x60600300084,2,0xa1004d080
0x807184600230,22,7,0x212453800c08 => 0x20508103ac08,4,0x200184638c20,5,0x20d0200fa100 => 0x212453800103,3,0x200184638c20
0x184018C2005AD,84,13,0x4618063f003 => 0x53642293081,7,0x536022db001,9,0x47180637003 => 0x53642293081,5,0x536022db001
0x180800C2D,84,15,0x10600c5a => 0x48642240100,8,0x1c00006b40,11,0x2c20c1408 => 0x2c20015a0,6,0x6020035a0
0x803184200C2D,84,21,0x496622d0100 => 0x2c30db408,11,0x496602d8100,13,0x486622d8100 => 0x78603d030,7,0x4d6202d8100
0x1087F084600621,42,13,0x1878005a2482d => 0x71a44380960c,7,0x33fe0182040c,11,0xc5804381b60c => 0x187800bc00bc1,6,0x33fe0182040c
0x1180008FEC0431,84,20,0x880ffc400198 => 0x8932441be220,10,0x30010ffc0861,13,0x30e5019b2888 => 0x880ffc400198,7,0x3000b7b24198
0x63000818C042D,84,18,0xc3180406b42 => 0x427822005a3,9,0x2012830ed410,12,0x43f8020402d => 0x427822005a3,6,0x1b1e08d80040
0x1007AE8030042D,21,7,0x25248862c3411 => 0xb608202037b1,4,0x508108dcf806,6,0xf600203035b1 => 0xf600811c045e,3,0xf6480614003d
0x10720087A0047F,42,13,0xc7800bc00fe1 => 0x30b021b4005bd,7,0x738007a0087f,9,0x73b60380960c => 0x30b021b4005bd,5,0x336c118498c6
0x10059680200C23,49,17,0xd000282dc1c => 0x49f003c4808,9,0x646803c0423,12,0xc810286d01c => 0xc81023c3821,6,0x646803c0423
0x184080C20047F,83,27,0x1808c0c10007f => 0x5a640293091,14,0x430c213d610,17,0x5a640293091 => 0x1808c0c10007f,9,0x1800738498c4
0x21108104640843,83,36,0x5c800876804 => 0x22da20049102,18,0xdf0003c0014,20,0x22da20049102 => 0x5b8402c0214,10,0x229a0102d808
0x10B400C43FF621,42,9,0xf648b62037a1 => 0xc47e863c045e,6,0xf600838ff41c,7,0xc67e862c045e => 0x368911b5818da,5,0x7036839e443d
0x10C400B43FF5A1,43,12,0xc7800bc3f45e => 0xf77e07a40831,6,0xf7b607a0043d,10,0xb5fe05b0043d => 0xc7800bc3f45e,5,0xf7b607a0043d
0x1080018C600FE1,41,14,0x4770027b801 => 0x186c10cb6082,7,0x5f60033b001,9,0xc7e80638801 => 0x471801fbc00,5,0x5b64221b011
0xB4200C63,82,17,0xc1188030043 => 0x1b68005060,9,0xc00b402018c,11,0xc1188030043 => 0x1b68005060,6,0x60601bc20
0x1007FE80200461,25,9,0x51245016d388 => 0xf58046200b46,5,0x53fe02800388,6,0x517e0294011c => 0xc500419ed20c,3,0x53fe02800461
0x1000008FEC0401,41,12,0x407fc200204 => 0x407fc200404,6,0x400b7a24410,8,0x407fc200204 => 0x8fec0406,4,0x4010ff80804
0x87AC0403,41,9,0x1968207001 => 0x8bcc0403,5,0x406b6200084,7,0x1968207001 => 0x40778200210,4,0x446b4200003
0x100000C7AC042D,82,21,0x30258302403d => 0x406f6200b44,11,0x440b42235a1,18,0x406f62005a2 => 0x30258302403d,9,0x44eb42205a0
0x300C0086324010,41,24,0x208220547102 => 0x5a800046b40,12,0x2083011c5808,14,0xad00004c2d => 0x208220547102,7,0x2083011c5808
0x1085F68422042D,41,12,0xb441043fb821 => 0xb4c1043bb821,6,0xb400c62db431,9,0x7136419a022d => 0xc47f063c0860,5,0x707e838c0461
0x10B7BE85A0042D,41,9,0xf400f41f97a2 => 0x509368db6bc2,6,0xb63e85ac043d,8,0x509368db6bc2 => 0xf400f41f97a2,5,0xf67e87ac0411
0xB5A00461,45,10,0xfe00388 => 0x40c17a060,5,0x401fc004060,7,0x182109a308 => 0xfe0011c,4,0x4000c638860
0x10C80000008C3,81,34,0x188000028c03 => 0xc8002800883,17,0x308800144021,20,0xc8002800883 => 0x1a0000128403,10,0x308800144021
0x20200B4200C03,81,34,0xd800b400083 => 0xc204059222,17,0x5880105600c,20,0xd800b400083 => 0xc8105a00211,10,0x5880105600c
0x100200B4200C03,81,34,0x4080109229c => 0x40820092394,17,0xc0005a24c04,20,0xc8007a00884 => 0xc800bc00884,10,0xc0005a24c04
0x308000800C0623,81,34,0xc80028005a3 => 0x200a800c5608,17,0xc0000824c2d,20,0xcd00004082d => 0xc80028005a3,10,0xc0000824c2d
0x83FE04080221,81,21,0x21fe01108442 => 0x8bc20409e220,11,0x31ec0192040c,14,0x89f004700446 => 0x31c805b0011c,7,0x23f60102440c
0x108030842DB421,40,10,0x20265117a288 => 0x20245117b288,5,0x400711fa388,5,0x20265117a288 => 0x4068c2f8461,3,0x4010c5be862
0x80018C6007BD,24,10,0xc71801fac00 => 0x4b6422db001,5,0x47e002bf001,7,0x708063fc03 => 0xc71801fac00,4,0x47e002bf001
0x630008C2C3461,11,3,0xc70804fe402 => 0x436c22d8610,2,0x73005bf802,3,0x258283fc14 => 0xc70802fb401,2,0x47f003bc800
0x1004018C6007BD,25,10,0xf800c68007f => 0x7b801f8c03,5,0x47e0037f001,7,0x7b801f8c03 => 0x5124108db294,4,0x50018c600c7f
0x108030846D8421,80,15,0x20bc4113a208 => 0x50e0c2b8062,8,0x4018c23b461,10,0x18611bb308 => 0x5060c2bc061,6,0x640310fa188
0x10000000C7F,43,15,0x10607c03 => 0x200bde,8,0x60602303001,9,0x2007bd => 0x10607c03,5,0x48640243001
0x4018C2005AD,80,11,0x43642213401 => 0x43642253001,6,0x400318205ad,9,0x1861008b5a => 0x52210205ad,5,0x400338005ad
0x101000B5A00061,80,14,0x4800ff00060 => 0x5080c0b8062,8,0x4000ff00460,10,0x5080c0b8062 => 0x4800ff00060,6,0x600b5a00308
0x1FC2005A3,40,13,0x5fc000c2d => 0x8fe005a3,7,0xc008fe0005a,7,0x8fe00b43 => 0x5fc0007b0,4,0xc008fe0002d
0x18400B42005AD,80,14,0x41788237041 => 0x506182b7041,7,0x586042bb021,8,0x1852208bb104 => 0xc1f88630041,4,0x586042bb021
0x118000B42005AD,80,14,0x41f88233041 => 0x50e182b3041,7,0x506042fb021,8,0xc0f84638021 => 0x500186b7043,4,0x506042fb021
0x1087F884220421,80,16,0x8b7c04461822 => 0x33480427b821,8,0x33fe0180011c,11,0x33f601884288 => 0x33480427b821,6,0x33fe01800461
0x210B1308440862,80,18,0xb7400106d808 => 0x513600966104,9,0x33c80182042d,13,0x5124121c9098 => 0x89c20458005e,7,0x1b6c10c00306
0x1081B884204C21,80,25,0x20be41164220 => 0x7036c1800c03,13,0xc80038db01c,14,0x322483924094 => 0x7036c1800c03,7,0x320805b8402d
0x1184008FEC0460,20,7,0xc134061be030 => 0x20f5011be808,5,0x89b0447b8220,5,0x2034c30db608 => 0xc134061be030,3,0x2074811fe408
0x8000B46F85A3,40,14,0x208047adb02d => 0x20038b43f05a,7,0x2000c7a1b23d,9,0x218047a5b02d => 0x20038b43f05a,5,0x20910b47e05a
0x10858087A00C63,80,34,0x21b641049b42 => 0x2092205ff102,17,0xc1b2060e7030,19,0x2092205ff102 => 0x21b641049b42,10,0x205a811f7408
0x50138180023D,40,11,0x4864624022d => 0x4c1041e082d,6,0x40181809c5e,8,0x1abe00c40108 => 0x4864624022d,4,0x400c60c063d
0x1081F0846005A3,80,18,0x31b64384002d => 0x2018c11fe608,9,0x2012830ff418,12,0x3077019a088c => 0x2102184ff0c2,6,0x2013031bf818
0x100400B46D87A3,40,11,0x58805a9f22d => 0xb4be05b0410c,6,0x78005adb03d,7,0x1b681fcb41 => 0xb6f605a20c01,4,0x64805b7b02d
0x318400F42D87A1,80,20,0xc58045adb03d => 0x8842b41ff5a0,12,0x324005bff02d,13,0x8c40b43fc5a1 => 0xf53607b40063,7,0x700185a3fc2d
0x84000842DB421,22,5,0x383fc1c => 0x202651169280,4,0x2320fd190,4,0xc00701f8380 => 0xc00228bd114,2,0x40e842dc420
0x8000F7A00C63,46,17,0x8c7184238023 => 0x21bc410de008,9,0x20136b409318,10,0x8c718403ac20 => 0x8c7184238023,5,0x21ec010fe008
0x100400F7A00C63,47,17,0x1817a0c1c5060 => 0x8b72041b9022,9,0x7000ffc0063,10,0x1810a0c1fd060 => 0x887384039c22,5,0x21ee011f6008
0x800184618C23,44,12,0xd00186b0043 => 0xc1188630043,6,0x5a010bf008,8,0xd00186b0043 => 0xc1188630043,4,0x5a010bf008
0x1080018C7C0C61,79,16,0x20126316c318 => 0x5b642293081,8,0x4378023f801,10,0x471807f0c02 => 0x5b642293081,5,0x536002ff001
0x84018420,39,6,0x4419020 => 0x4458020,4,0x260090100,5,0x1812088 => 0x101b008,3,0x1072008
0xB4200400,39,7,0x5a20001 => 0x5a20004,5,0x4b4000010,5,0x5a20004 => 0x5a20001,3,0x7a00400
0x20018C000C7F,43,10,0x58c1c0c63 => 0x4a6422d3001,6,0x40f0c207061,7,0x4a6422d3001 => 0x6068c303061,4,0x46e002b7001
0x101000F7A00081,42,11,0x1800f7a00880 => 0x1801fc600090,6,0x4018fe00406,7,0x1801fc600011 => 0x18017bc00801,4,0x400f7a00604
